State;error;Y
1;-0,164716312;9,505851065
2;-1,197408892;-0,493647571
1;-1,641119525;5,224735697
1;2,395390766;5,835728671
1;-0,271622866;0,623900001
1;0,322716005;0,77021201
2;0,755982228;1,666006858
1;0,828761131;11,98648134
1;0,793156687;3,983609641
2;0,816635293;2,429992514
1;1,519870239;13,83061296
2;-0,693701168;1,378720257
1;1,485564098;14,04307622
2;-1,492285264;-0,175955285
1;-0,104648734;9,738840383
2;-0,846798685;0,254170708
1;0,865450147;12,52009923
2;-0,511462304;1,481095239
1;1,408438948;13,78098827
2;-2,138549462;-1,52090127
1;0,199250962;11,05402327
2;0,832651494;3,876107642
2;0,131843763;9,232698995
1;-0,974428076;4,306906073
2;1,119451554;3,100284322
0;-1,202438398;-9,652296237
1;1,106518539;16,21524449
2;1,797811819;6,838672536
1;0,399817282;9,147850084
2;-2,927408786;-4,025247556
1;-1,513826646;6,666094328
2;1,936077751;5,205374369
1;-0,721709057;6,273260519
2;-1,079001777;-0,90335145
1;1,277164756;14,1024997
2;-1,499074642;-0,177649344
1;-1,124476512;6,679865267
2;-1,74669367;-2,157414286
1;-1,235566742;6,940524059
1;0,564423317;2,516951446
2;-0,354067424;-0,204744559
1;1,03252205;13,15898952
2;-1,163175511;0,305446881
1;0,022989752;9,977335193
1;2,254400897;6,504268833
2;-0,367128905;0,566595956
1;-0,959896624;6,95033134
2;-0,056830913;1,276404441
0;-0,468078269;-9,829876049
0;2,084543667;-12,83039436
1;-0,144509613;13,41558947
2;-0,90749154;0,868134814
1;0,563795766;11,43094685
2;-2,225278877;-2,164368383
1;0,002027036;10,65539162
2;-0,934142008;0,262794308
0;-0,384945906;-10,25354875
1;1,274229362;16,89875271
2;0,074693389;3,529137321
1;0,891554919;11,61592356
1;1,331980002;4,987144716
2;1,037619768;3,072668479
1;0,380582605;10,21994727
2;2,019278327;6,082546108
1;0,091965831;8,451133659
2;0,139486929;1,969200589
1;1,276127932;13,23762362
2;0,589905085;3,827334894
1;-1,916032488;3,103702067
2;-0,601964985;-0,583189556
1;-1,360954229;6,092094179
2;-0,2931165;0,632185836
1;0,274401373;10,63354837
2;-1,296243681;-0,465777689
1;-1,189612249;6,570896561
2;-0,856143743;-0,398108173
1;-0,697795031;8,02604736
2;0,419117896;2,443445264
1;2,552951628;16,9258213
2;1,344719749;6,074603759
2;1,097394033;11,46980097
1;-1,3781505;2,424608207
1;-1,104124294;-1,723326947
2;-0,010977601;-0,366620592
1;-0,175270998;9,584173184
2;-0,238979965;1,438874707
0;-1,050150331;-10,33071298
1;-0,235833113;12,39171455
2;-0,758632268;0,961078375
1;-0,423297024;8,441785415
2;0,654811174;2,997979431
2;-0,038755843;8,984338642
1;-0,564153879;5,61223677
1;0,154411737;1,431270827
1;1,512144081;3,310542328
2;3,668246791;7,998602047
1;-0,236934738;6,88961517
2;-0,232295179;0,913332677
1;-1,000714747;6,723855957
2;1,185276233;3,715323657
1;0,157431259;9,35769668
2;-1,067569428;-0,263599521
1;0,026433327;10,15837984
2;0,409947916;2,851571798
2;-0,752322649;6,887560515
1;0,486768386;9,394037002
2;0,594282028;3,067371457
2;-1,069329301;5,871800661
1;-0,173174612;7,718935964
