Data,Ativo,Close
2005-11-18,NASDAQ,2227.07
2005-11-21,NASDAQ,2241.67
2005-11-22,NASDAQ,2253.56
2005-11-23,NASDAQ,2259.98
2005-11-24,NASDAQ,
2005-11-25,NASDAQ,2263.01
2005-11-28,NASDAQ,2239.37
2005-11-29,NASDAQ,2232.71
2005-11-30,NASDAQ,2232.82
2005-12-01,NASDAQ,2267.17
2005-12-02,NASDAQ,2273.37
2005-12-05,NASDAQ,2257.64
2005-12-06,NASDAQ,2260.76
2005-12-07,NASDAQ,2252.01
2005-12-08,NASDAQ,2246.46
2005-12-09,NASDAQ,2256.73
2005-12-12,NASDAQ,2260.95
2005-12-13,NASDAQ,2265.0
2005-12-14,NASDAQ,2262.59
2005-12-15,NASDAQ,2260.63
2005-12-16,NASDAQ,2252.48
2005-12-19,NASDAQ,2222.74
2005-12-20,NASDAQ,2222.42
2005-12-21,NASDAQ,2231.66
2005-12-22,NASDAQ,2246.49
2005-12-23,NASDAQ,2249.42
2005-12-26,NASDAQ,
2005-12-27,NASDAQ,2226.89
2005-12-28,NASDAQ,2228.94
2005-12-29,NASDAQ,2218.16
2005-12-30,NASDAQ,2205.32
2006-01-02,NASDAQ,
2006-01-03,NASDAQ,2243.74
2006-01-04,NASDAQ,2263.46
2006-01-05,NASDAQ,2276.87
2006-01-06,NASDAQ,2305.62
2006-01-09,NASDAQ,2318.69
2006-01-10,NASDAQ,2320.32
2006-01-11,NASDAQ,2331.36
2006-01-12,NASDAQ,2316.69
2006-01-13,NASDAQ,2317.04
2006-01-16,NASDAQ,
2006-01-17,NASDAQ,2302.69
2006-01-18,NASDAQ,2279.64
2006-01-19,NASDAQ,2301.81
2006-01-20,NASDAQ,2247.7
2006-01-23,NASDAQ,2248.47
2006-01-24,NASDAQ,2265.25
2006-01-25,NASDAQ,2260.65
2006-01-26,NASDAQ,2283.0
2006-01-27,NASDAQ,2304.23
2006-01-30,NASDAQ,2306.78
2006-01-31,NASDAQ,2305.82
2006-02-01,NASDAQ,2310.56
2006-02-02,NASDAQ,2281.57
2006-02-03,NASDAQ,2262.58
2006-02-06,NASDAQ,2258.8
2006-02-07,NASDAQ,2244.96
2006-02-08,NASDAQ,2266.98
2006-02-09,NASDAQ,2255.87
2006-02-10,NASDAQ,2261.88
2006-02-13,NASDAQ,2239.81
2006-02-14,NASDAQ,2262.17
2006-02-15,NASDAQ,2276.43
2006-02-16,NASDAQ,2294.63
2006-02-17,NASDAQ,2282.36
2006-02-20,NASDAQ,
2006-02-21,NASDAQ,2262.49
2006-02-22,NASDAQ,2283.17
2006-02-23,NASDAQ,2279.32
2006-02-24,NASDAQ,2287.04
2006-02-27,NASDAQ,2307.18
2006-02-28,NASDAQ,2281.39
2006-03-01,NASDAQ,2314.64
2006-03-02,NASDAQ,2311.11
2006-03-03,NASDAQ,2302.6
2006-03-06,NASDAQ,2286.03
2006-03-07,NASDAQ,2268.38
2006-03-08,NASDAQ,2267.46
2006-03-09,NASDAQ,2249.72
2006-03-10,NASDAQ,2262.04
2006-03-13,NASDAQ,2267.03
2006-03-14,NASDAQ,2295.9
2006-03-15,NASDAQ,2311.84
2006-03-16,NASDAQ,2299.56
2006-03-17,NASDAQ,2306.48
