Data,Ativo,Close
2005-11-18,S&P 500,1248.27
2005-11-21,S&P 500,1254.84
2005-11-22,S&P 500,1261.23
2005-11-23,S&P 500,1265.6
2005-11-24,S&P 500,
2005-11-25,S&P 500,1268.25
2005-11-28,S&P 500,1257.46
2005-11-29,S&P 500,1257.48
2005-11-30,S&P 500,1249.48
2005-12-01,S&P 500,1264.67
2005-12-02,S&P 500,1265.08
2005-12-05,S&P 500,1262.08
2005-12-06,S&P 500,1263.7
2005-12-07,S&P 500,1257.36
2005-12-08,S&P 500,1255.83
2005-12-09,S&P 500,1259.36
2005-12-12,S&P 500,1260.43
2005-12-13,S&P 500,1267.43
2005-12-14,S&P 500,1272.74
2005-12-15,S&P 500,1270.94
2005-12-16,S&P 500,1267.32
2005-12-19,S&P 500,1259.92
2005-12-20,S&P 500,1259.61
2005-12-21,S&P 500,1262.79
2005-12-22,S&P 500,1268.11
2005-12-23,S&P 500,1268.66
2005-12-26,S&P 500,
2005-12-27,S&P 500,1256.54
2005-12-28,S&P 500,1258.17
2005-12-29,S&P 500,1254.42
2005-12-30,S&P 500,1248.29
2006-01-02,S&P 500,
2006-01-03,S&P 500,1268.8
2006-01-04,S&P 500,1273.46
2006-01-05,S&P 500,1273.48
2006-01-06,S&P 500,1285.45
2006-01-09,S&P 500,1290.15
2006-01-10,S&P 500,1289.69
2006-01-11,S&P 500,1294.18
2006-01-12,S&P 500,1286.06
2006-01-13,S&P 500,1287.6
2006-01-16,S&P 500,
2006-01-17,S&P 500,1282.93
2006-01-18,S&P 500,1277.93
2006-01-19,S&P 500,1285.04
2006-01-20,S&P 500,1261.49
2006-01-23,S&P 500,1263.82
2006-01-24,S&P 500,1266.85
2006-01-25,S&P 500,1264.68
2006-01-26,S&P 500,1273.83
2006-01-27,S&P 500,1283.72
2006-01-30,S&P 500,1285.2
2006-01-31,S&P 500,1280.08
2006-02-01,S&P 500,1282.46
2006-02-02,S&P 500,1270.83
2006-02-03,S&P 500,1264.03
2006-02-06,S&P 500,1265.02
2006-02-07,S&P 500,1254.78
2006-02-08,S&P 500,1265.65
2006-02-09,S&P 500,1263.78
2006-02-10,S&P 500,1266.99
2006-02-13,S&P 500,1262.85
2006-02-14,S&P 500,1275.53
2006-02-15,S&P 500,1280.0
2006-02-16,S&P 500,1289.38
2006-02-17,S&P 500,1287.24
2006-02-20,S&P 500,
2006-02-21,S&P 500,1283.03
2006-02-22,S&P 500,1292.67
2006-02-23,S&P 500,1287.79
2006-02-24,S&P 500,1289.43
2006-02-27,S&P 500,1294.11
2006-02-28,S&P 500,1280.66
2006-03-01,S&P 500,1291.24
2006-03-02,S&P 500,1289.14
2006-03-03,S&P 500,1287.23
2006-03-06,S&P 500,1278.26
