Data,Ativo,Close
2005-11-18,SMLL,561.66
2005-11-21,SMLL,562.02
2005-11-22,SMLL,568.5
2005-11-23,SMLL,553.98
2005-11-24,SMLL,559.68
2005-11-25,SMLL,561.43
2005-11-28,SMLL,556.42
2005-11-29,SMLL,560.34
2005-11-30,SMLL,563.55
2005-12-01,SMLL,573.28
2005-12-02,SMLL,580.7
2005-12-05,SMLL,582.22
2005-12-06,SMLL,587.17
2005-12-07,SMLL,582.98
2005-12-08,SMLL,581.03
2005-12-09,SMLL,586.36
2005-12-12,SMLL,583.83
2005-12-13,SMLL,589.94
2005-12-14,SMLL,588.92
2005-12-15,SMLL,584.48
2005-12-16,SMLL,583.03
2005-12-19,SMLL,574.7
2005-12-20,SMLL,580.49
2005-12-21,SMLL,586.99
2005-12-22,SMLL,586.89
2005-12-23,SMLL,585.95
2005-12-26,SMLL,586.34
2005-12-27,SMLL,586.0
2005-12-28,SMLL,584.81
2005-12-29,SMLL,593.06
2005-12-30,SMLL,
2006-01-02,SMLL,592.01
2006-01-03,SMLL,606.39
2006-01-04,SMLL,616.96
2006-01-05,SMLL,620.37
2006-01-06,SMLL,635.29
2006-01-09,SMLL,635.55
2006-01-10,SMLL,628.41
2006-01-11,SMLL,640.14
2006-01-12,SMLL,636.6
2006-01-13,SMLL,640.27
2006-01-16,SMLL,653.11
2006-01-17,SMLL,647.26
2006-01-18,SMLL,650.9
2006-01-19,SMLL,666.95
2006-01-20,SMLL,667.31
2006-01-23,SMLL,667.94
2006-01-24,SMLL,676.67
2006-01-25,SMLL,
2006-01-26,SMLL,686.65
2006-01-27,SMLL,683.37
2006-01-30,SMLL,683.83
2006-01-31,SMLL,677.59
2006-02-01,SMLL,678.85
2006-02-02,SMLL,670.58
2006-02-03,SMLL,671.34
2006-02-06,SMLL,663.84
2006-02-07,SMLL,654.74
2006-02-08,SMLL,661.64
2006-02-09,SMLL,671.05
2006-02-10,SMLL,678.8
2006-02-13,SMLL,676.51
2006-02-14,SMLL,681.93
2006-02-15,SMLL,682.05
2006-02-16,SMLL,693.26
2006-02-17,SMLL,692.58
2006-02-20,SMLL,690.31
2006-02-21,SMLL,680.65
2006-02-22,SMLL,680.53
2006-02-23,SMLL,681.52
2006-02-24,SMLL,691.47
2006-02-27,SMLL,
2006-02-28,SMLL,
2006-03-01,SMLL,704.06
2006-03-02,SMLL,705.3
2006-03-03,SMLL,713.78
2006-03-06,SMLL,703.78
2006-03-07,SMLL,689.97
2006-03-08,SMLL,687.17
2006-03-09,SMLL,678.3
2006-03-10,SMLL,687.67
2006-03-13,SMLL,680.77
2006-03-14,SMLL,684.86
2006-03-15,SMLL,694.63
2006-03-16,SMLL,700.35
2006-03-17,SMLL,692.21
2006-03-20,SMLL,690.85
2006-03-21,SMLL,678.46
2006-03-22,SMLL,691.08
2006-03-23,SMLL,687.75
2006-03-24,SMLL,687.56
2006-03-27,SMLL,692.27
2006-03-28,SMLL,681.53
2006-03-29,SMLL,683.1
2006-03-30,SMLL,688.13
2006-03-31,SMLL,690.36
2006-04-03,SMLL,701.14
2006-04-04,SMLL,703.48
2006-04-05,SMLL,702.44
2006-04-06,SMLL,699.73
2006-04-07,SMLL,694.75
2006-04-10,SMLL,688.46
2006-04-11,SMLL,683.96
2006-04-12,SMLL,685.6
2006-04-13,SMLL,685.09
2006-04-14,SMLL,
2006-04-17,SMLL,680.53
2006-04-18,SMLL,692.94
2006-04-19,SMLL,701.26
2006-04-20,SMLL,702.7
2006-04-21,SMLL,
2006-04-24,SMLL,699.01
2006-04-25,SMLL,698.18
2006-04-26,SMLL,708.43
2006-04-27,SMLL,702.19
2006-04-28,SMLL,697.34
2006-05-01,SMLL,
2006-05-02,SMLL,700.74
2006-05-03,SMLL,703.26
2006-05-04,SMLL,708.7
2006-05-05,SMLL,716.31
2006-05-08,SMLL,724.18
2006-05-09,SMLL,722.7
2006-05-10,SMLL,722.15
2006-05-11,SMLL,704.9
2006-05-12,SMLL,692.6
2006-05-15,SMLL,682.9
2006-05-16,SMLL,686.92
2006-05-17,SMLL,666.83
2006-05-18,SMLL,666.51
2006-05-19,SMLL,665.16
2006-05-22,SMLL,638.83
2006-05-23,SMLL,630.4
2006-05-24,SMLL,611.98
2006-05-25,SMLL,644.28
2006-05-26,SMLL,660.89
2006-05-29,SMLL,656.07
2006-05-30,SMLL,628.44
2006-05-31,SMLL,642.24
2006-06-01,SMLL,663.12
2006-06-02,SMLL,663.64
2006-06-05,SMLL,647.79
2006-06-06,SMLL,649.19
2006-06-07,SMLL,636.99
2006-06-08,SMLL,635.97
2006-06-09,SMLL,631.8
2006-06-12,SMLL,604.15
2006-06-13,SMLL,597.23
2006-06-14,SMLL,590.52
2006-06-15,SMLL,
2006-06-16,SMLL,606.66
2006-06-19,SMLL,604.96
2006-06-20,SMLL,600.62
2006-06-21,SMLL,605.58
2006-06-22,SMLL,604.79
2006-06-23,SMLL,614.19
2006-06-26,SMLL,607.04
2006-06-27,SMLL,605.9
2006-06-28,SMLL,610.51
2006-06-29,SMLL,634.82
2006-06-30,SMLL,649.3
2006-07-03,SMLL,656.44
2006-07-04,SMLL,662.22
2006-07-05,SMLL,641.79
2006-07-06,SMLL,642.09
2006-07-07,SMLL,635.14
2006-07-10,SMLL,632.17
2006-07-11,SMLL,637.02
2006-07-12,SMLL,630.95
2006-07-13,SMLL,617.96
2006-07-14,SMLL,617.03
2006-07-17,SMLL,617.57
2006-07-18,SMLL,627.19
2006-07-19,SMLL,644.42
2006-07-20,SMLL,638.51
2006-07-21,SMLL,635.29
2006-07-24,SMLL,639.49
2006-07-25,SMLL,640.8
2006-07-26,SMLL,637.31
2006-07-27,SMLL,644.87
2006-07-28,SMLL,652.13
2006-07-31,SMLL,647.24
2006-08-01,SMLL,636.8
2006-08-02,SMLL,637.53
2006-08-03,SMLL,641.96
2006-08-04,SMLL,648.44
2006-08-07,SMLL,650.61
2006-08-08,SMLL,652.96
2006-08-09,SMLL,653.07
2006-08-10,SMLL,658.95
2006-08-11,SMLL,657.82
2006-08-14,SMLL,656.24
2006-08-15,SMLL,667.89
2006-08-16,SMLL,671.5
2006-08-17,SMLL,668.81
2006-08-18,SMLL,666.8
2006-08-21,SMLL,657.43
2006-08-22,SMLL,652.99
2006-08-23,SMLL,638.05
2006-08-24,SMLL,641.09
2006-08-25,SMLL,648.63
2006-08-28,SMLL,651.56
2006-08-29,SMLL,655.56
2006-08-30,SMLL,661.41
2006-08-31,SMLL,668.1
2006-09-01,SMLL,681.66
2006-09-04,SMLL,690.65
2006-09-05,SMLL,690.97
2006-09-06,SMLL,686.35
2006-09-07,SMLL,
2006-09-08,SMLL,692.96
2006-09-11,SMLL,681.12
2006-09-12,SMLL,687.01
2006-09-13,SMLL,694.02
2006-09-14,SMLL,692.02
2006-09-15,SMLL,694.72
2006-09-18,SMLL,694.1
2006-09-19,SMLL,681.2
2006-09-20,SMLL,675.52
2006-09-21,SMLL,664.64
2006-09-22,SMLL,662.07
2006-09-25,SMLL,662.35
2006-09-26,SMLL,678.95
2006-09-27,SMLL,678.63
2006-09-28,SMLL,685.65
2006-09-29,SMLL,687.69
2006-10-02,SMLL,696.01
2006-10-03,SMLL,696.66
2006-10-04,SMLL,719.85
2006-10-05,SMLL,712.38
2006-10-06,SMLL,710.56
2006-10-09,SMLL,717.29
2006-10-10,SMLL,720.31
2006-10-11,SMLL,715.23
2006-10-12,SMLL,
2006-10-13,SMLL,720.25
2006-10-16,SMLL,721.11
2006-10-17,SMLL,723.01
2006-10-18,SMLL,726.39
2006-10-19,SMLL,725.73
2006-10-20,SMLL,723.9
2006-10-23,SMLL,735.72
2006-10-24,SMLL,733.97
2006-10-25,SMLL,730.08
2006-10-26,SMLL,731.45
2006-10-27,SMLL,725.32
2006-10-30,SMLL,723.94
2006-10-31,SMLL,737.03
2006-11-01,SMLL,745.15
