Data,Ativo,Close
2005-11-18,T-BOND10,4.502
2005-11-21,T-BOND10,4.461
2005-11-22,T-BOND10,4.428
2005-11-23,T-BOND10,4.474
2005-11-24,T-BOND10,
2005-11-25,T-BOND10,4.431
2005-11-28,T-BOND10,4.404
2005-11-29,T-BOND10,4.482
2005-11-30,T-BOND10,4.5
2005-12-01,T-BOND10,4.521
2005-12-02,T-BOND10,4.519
2005-12-05,T-BOND10,4.567
2005-12-06,T-BOND10,4.494
2005-12-07,T-BOND10,4.517
2005-12-08,T-BOND10,4.464
2005-12-09,T-BOND10,4.537
2005-12-12,T-BOND10,4.547
2005-12-13,T-BOND10,4.535
2005-12-14,T-BOND10,4.45
2005-12-15,T-BOND10,4.468
2005-12-16,T-BOND10,4.448
2005-12-19,T-BOND10,4.442
2005-12-20,T-BOND10,4.466
2005-12-21,T-BOND10,4.486
2005-12-22,T-BOND10,4.433
2005-12-23,T-BOND10,4.38
2005-12-26,T-BOND10,
2005-12-27,T-BOND10,4.341
2005-12-28,T-BOND10,4.378
2005-12-29,T-BOND10,4.376
2005-12-30,T-BOND10,4.395
2006-01-02,T-BOND10,
2006-01-03,T-BOND10,4.37
2006-01-04,T-BOND10,4.356
2006-01-05,T-BOND10,4.356
2006-01-06,T-BOND10,4.379
2006-01-09,T-BOND10,4.379
2006-01-10,T-BOND10,4.428
2006-01-11,T-BOND10,4.458
2006-01-12,T-BOND10,4.41
2006-01-13,T-BOND10,4.35
2006-01-16,T-BOND10,
2006-01-17,T-BOND10,4.332
2006-01-18,T-BOND10,4.34
2006-01-19,T-BOND10,4.379
2006-01-20,T-BOND10,4.361
2006-01-23,T-BOND10,4.357
2006-01-24,T-BOND10,4.39
2006-01-25,T-BOND10,4.479
2006-01-26,T-BOND10,4.523
2006-01-27,T-BOND10,4.503
2006-01-30,T-BOND10,4.535
2006-01-31,T-BOND10,4.527
2006-02-01,T-BOND10,4.561
2006-02-02,T-BOND10,4.561
2006-02-03,T-BOND10,4.533
2006-02-06,T-BOND10,4.545
2006-02-07,T-BOND10,4.567
2006-02-08,T-BOND10,4.595
2006-02-09,T-BOND10,4.541
2006-02-10,T-BOND10,4.581
2006-02-13,T-BOND10,4.583
2006-02-14,T-BOND10,4.614
2006-02-15,T-BOND10,4.606
2006-02-16,T-BOND10,4.596
2006-02-17,T-BOND10,4.541
2006-02-20,T-BOND10,
2006-02-21,T-BOND10,4.563
2006-02-22,T-BOND10,4.531
2006-02-23,T-BOND10,4.567
2006-02-24,T-BOND10,4.567
2006-02-27,T-BOND10,4.59
2006-02-28,T-BOND10,4.547
2006-03-01,T-BOND10,4.589
2006-03-02,T-BOND10,4.638
2006-03-03,T-BOND10,4.684
2006-03-06,T-BOND10,4.738
2006-03-07,T-BOND10,4.736
2006-03-08,T-BOND10,4.734
2006-03-09,T-BOND10,4.73
2006-03-10,T-BOND10,4.755
2006-03-13,T-BOND10,4.775
2006-03-14,T-BOND10,4.696
2006-03-15,T-BOND10,4.731
2006-03-16,T-BOND10,4.646
2006-03-17,T-BOND10,4.674
2006-03-20,T-BOND10,4.656
2006-03-21,T-BOND10,4.717
2006-03-22,T-BOND10,4.703
2006-03-23,T-BOND10,4.739
2006-03-24,T-BOND10,4.675
2006-03-27,T-BOND10,4.701
2006-03-28,T-BOND10,4.778
2006-03-29,T-BOND10,4.81
2006-03-30,T-BOND10,4.855
2006-03-31,T-BOND10,4.853
2006-04-03,T-BOND10,4.874
2006-04-04,T-BOND10,4.872
2006-04-05,T-BOND10,4.839
2006-04-06,T-BOND10,4.893
2006-04-07,T-BOND10,4.971
2006-04-10,T-BOND10,4.963
2006-04-11,T-BOND10,4.932
2006-04-12,T-BOND10,4.976
2006-04-13,T-BOND10,5.036
2006-04-14,T-BOND10,
2006-04-17,T-BOND10,5.007
2006-04-18,T-BOND10,4.974
2006-04-19,T-BOND10,5.028
2006-04-20,T-BOND10,5.039
2006-04-21,T-BOND10,5.012
2006-04-24,T-BOND10,4.985
2006-04-25,T-BOND10,5.071
2006-04-26,T-BOND10,5.105
2006-04-27,T-BOND10,5.084
2006-04-28,T-BOND10,5.069
2006-05-01,T-BOND10,5.131
2006-05-02,T-BOND10,5.11
2006-05-03,T-BOND10,5.144
2006-05-04,T-BOND10,5.15
2006-05-05,T-BOND10,5.108
2006-05-08,T-BOND10,5.119
2006-05-09,T-BOND10,5.125
2006-05-10,T-BOND10,5.125
2006-05-11,T-BOND10,5.155
2006-05-12,T-BOND10,5.186
2006-05-15,T-BOND10,5.153
2006-05-16,T-BOND10,5.105
2006-05-17,T-BOND10,5.153
2006-05-18,T-BOND10,5.073
2006-05-19,T-BOND10,5.054
2006-05-22,T-BOND10,5.036
2006-05-23,T-BOND10,5.066
2006-05-24,T-BOND10,5.034
2006-05-25,T-BOND10,5.074
2006-05-26,T-BOND10,5.052
2006-05-29,T-BOND10,
2006-05-30,T-BOND10,5.086
2006-05-31,T-BOND10,5.113
2006-06-01,T-BOND10,5.108
2006-06-02,T-BOND10,4.994
2006-06-05,T-BOND10,5.026
2006-06-06,T-BOND10,5.006
2006-06-07,T-BOND10,5.026
2006-06-08,T-BOND10,4.992
2006-06-09,T-BOND10,4.981
2006-06-12,T-BOND10,4.987
2006-06-13,T-BOND10,4.961
2006-06-14,T-BOND10,5.05
2006-06-15,T-BOND10,5.098
2006-06-16,T-BOND10,5.128
2006-06-19,T-BOND10,5.145
2006-06-20,T-BOND10,5.157
2006-06-21,T-BOND10,5.155
2006-06-22,T-BOND10,5.198
2006-06-23,T-BOND10,5.228
2006-06-26,T-BOND10,5.239
2006-06-27,T-BOND10,5.21
2006-06-28,T-BOND10,5.245
2006-06-29,T-BOND10,5.2
2006-06-30,T-BOND10,5.138
2006-07-03,T-BOND10,5.151
